종류,상품명,상품설명,이자율
예금,디딤씨앗 적립예금,최장 18년까지 매 5년 단위로 이자율이 변동되는 아동발달지원계좌,2.3
예금,아름다운 용기 정기예금,1.8,"사전홍보 및 친환경 실천 공감대 형성, 고령자를 우대하는 ESG 상품"
예금,쏠편한 정기예금,만기일 연장서비스를 통해 여유롭게 관리할 수 있는 정기예금,1.75
예금,미래설계 장기플랜 연금예금,금리주기 변경일 마다 금리가 변동하는 장기 즉시연금,1.6
예금,미래설계 크레바스 연금예금,5년 이내의 단기연금예금,1.6
예금,S드림 정기예금,고객의 자금운용계획에 맞추어 운용할 수 있는 맞춤형정기예금,1.3
예금,정기예금,계약 시 저축기간과 확정금리를 미리 정하여 일정금액을 예치하는 장기 예금,1.2
적금,장병내일준비 적금,의무복무중인 병사들에게 목돈 마련을 준비할 수 있도록 우대이자율 제공,5.7
적금,군인행복 적금,군 간부 대상으로 거래실적에 따라 우대이자율 제공,5.7
적금,새희망 적금,"저소득층의 목돈마련을 돕고, 서민의 자립 및 재산형성 지원",4.5
적금,"안녕, 반가워 적금",신한은행에 거래가 없던 고객이 신한은행 첫 거래시 실적에 따라 우대이자율 제공,4.4
적금,미소드림 적금,차상위계층 이하자의 재산형성 지원,3.6
적금,가맹정 Swing 적금,"매출이 많을 때는 저축도 많이, 매출이 적을 때는 저축도 조금만!",3.0
적금,쏠편한 선물하는 적금,소중한 분께 기억에 남는 선물을 하세요!,2.9
적금,아름다운 용기 적금,"사전홍보 및 친환경 실천 공감대 형성, 고령자를 우대하는 ESG 상품",2.8
적금,알.쏠 적금,원하는 가입 기간을 선택하여 월 납입 한도 내 신규와 입금이 자유로운 상품,2.8
적금,MY 주니어 적금,요건 충족 시 안심보험 무료가입 서비스 제공,2.75
적금,마이홈 적금,동일자에 청약을 가입하면 우대금리를 제공하는 적금,2.6
적금,스마트 적금,신한은행 스마트폰뱅킹에서만 가입할 수 있는 스마트폰 전용 적금,2.2
적금,쏠편한 작심3일 적금,일주일에 3일만 마음먹고 목돈 만드는 좋은 습관!,2.0
적금,사업자 성공기원적금(자유적립식),개인사업자에 차별화된 우대금리 적용,1.9
적금,사업자 성공기원적금(정기적립식),개인사업자에 차별화된 우대금리 적용,1.9
적금,더드림 적금(외국인),해외 송금시 특별중도해지 이율을 제공하는 외국인 전용 적금,1.85
적금,S드림 기업적금,다양한 기간 설정이 가능한 적금,1.7
적금,S드림 적금,다양한 기간 설정이 가능한 적금,1.7
적금,정기적금,정액적립식 확정금리 상품,1.3
